date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:09	6354/6354	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2003%20Dec%202024%2011:31:10%20GMT	https://chatapap.webflow.io/robots.txt		(from )
12:31:09	63011/63011	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2000:05:39%20GMT	https://chatapap.webflow.io/	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/index.html	(from )
12:31:11	71191/71191	---M-Z	200	added ('OK')	text/css	etag:%22dceead6d81c4dcab630a1ceb7dd90d11%22	https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/css/chatapap.webflow.145bf2ca9.css	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/assets-global.website-files.com/65c9b678d86972b1b07c57b6/css/chatapap.webflow.145bf2ca9.css	(from https://chatapap.webflow.io/)
12:31:12	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://chatapap.webflow.io/)
12:31:12	819/819	---M--	200	added ('OK')	image/png	etag:%2286e164de4a70d6abb22f255fdc132a7b%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d03f10321ba6c43ba85c4c_Favicon-min.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d03f10321ba6c43ba85c4c_Favicon-min.png	(from https://chatapap.webflow.io/)
12:31:13	3059/3059	---M--	200	added ('OK')	image/jpeg	etag:%222084b4a6ac6c4421bf341b069abb8293%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d03f16321ba6c43ba85ea6_Webclip-min.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d03f16321ba6c43ba85ea6_Webclip-min.jpg	(from https://chatapap.webflow.io/)
12:31:13	4943/4943	---M--	200	added ('OK')	image/png	etag:%224e5a0c84c0bc1e96de3a4460ee301cd4%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7f7be361b624b084c8b_Company_Logo.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7f7be361b624b084c8b_Company_Logo.png	(from https://chatapap.webflow.io/)
12:31:13	42686/42686	---M--	200	added ('OK')	image/png	etag:%222dd358ee8e7c68487ec5c6b8c913890c%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ca29e72617ece37c6521de_Frame_1.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ca29e72617ece37c6521de_Frame_1.png	(from https://chatapap.webflow.io/)
12:31:14	2252/2252	---M--	200	added ('OK')	image/png	etag:%22192b393667a0055d186b3ea0d34141bd%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775a3f473e041e6c6f7_logo-3.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775a3f473e041e6c6f7_logo-3.png	(from https://chatapap.webflow.io/)
12:31:14	2030/2030	---M--	200	added ('OK')	image/png	etag:%2241d9cf6d6aa3521ae029fee91e2de7bb%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77505c9f490c5b2e8d6_logo-2.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77505c9f490c5b2e8d6_logo-2.png	(from https://chatapap.webflow.io/)
12:31:14	2970/2970	---M--	200	added ('OK')	image/png	etag:%222365fb98537bea3a74be99594f0b9f4d%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7757cb311efd7349d26_logo-5.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7757cb311efd7349d26_logo-5.png	(from https://chatapap.webflow.io/)
12:31:14	2046/2046	---M--	200	added ('OK')	image/png	etag:%22e1d5bf68e3ea3a0c8e74b8e78901b8b0%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7757cfa50e20678e169_logo-6.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7757cfa50e20678e169_logo-6.png	(from https://chatapap.webflow.io/)
12:31:14	2405/2405	---M--	200	added ('OK')	image/png	etag:%22fbbc268c91776d7ed05bb16dfa2b0cfc%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7752bbc7d57ac4ad7c3_logo-4.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda7752bbc7d57ac4ad7c3_logo-4.png	(from https://chatapap.webflow.io/)
